Istituto Principale,Scuola,Tipo Istituto,Tipo Gestione,Indirizzo,Comune,Telefono,Fax,Email istituto,Email segreteria,Sito web,Codice MIUR,CAP
Circolo di coordinamento n. 1,"Scuola dell'Infanzia di Rizzolaga di Pinè ""Raggio di sole""",Scuola dell'infanzia,Statale,"Frazione Rizzolaga, 94",BASELGA DI PINE',0461/557629,0461/493495,scuolainfanzia.rizzolaga@scuole.provincia.tn.it,circolo.coordinamento01@provincia.tn.it,,,38042
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,Scuola Primaria,Paritaria,"Via Monsignor  Endrici, 23",TRENTO,0461/1731200,0461/1731288,collegioarcivescovile@pec.it,didatticatn@arcivescoviletrento.it,www.arcivescoviletrento.it,TN1E00100V,38122
Circolo di coordinamento n. 6,"Scuola dell'Infanzia di Trento  Meano  ""M. R. Giobatta Partelloni""",Scuola dell'infanzia,Statale,"Via Delle Sugarine, 38",TRENTO,0461/991187,0461/499283,scuolainfanzia.meano@scuole.provincia.tn.it,circolo.coordinamento06@provincia.tn.it,,,38121
Circolo di coordinamento n. 2,Scuola dell'Infanzia di Centa San Nicolò,Scuola dell'infanzia,Statale,"Via dei Campi, 14",ALTOPIANO DELLA VIGOLANA,0461/722120,0461 491976,scuolainfanzia.centa@scuole.provincia.tn.it,circolo.coordinamento02@provincia.tn.it,,,38049
Circolo di coordinamento n. 2,"Scuola dell'Infanzia di Tenna ""Il sentiero""",Scuola dell'infanzia,Statale,"Via Venezia, 1",TENNA,0461/707635,0461 491976,scuolainfanzia.tenna@scuole.provincia.tn.it,circolo.coordinamento02@provincia.tn.it,,,38050
Circolo di coordinamento n. 7,"Scuola dell'Infanzia di Cavedago  ""L'albero azzurro""",Scuola dell'infanzia,Statale,"Piazza S Lorenzo, 2",CAVEDAGO,0461/654340,0461/494334,scuolainfanzia.cavedago@scuole.provincia.tn.it,circolo.coordinamento07@provincia.tn.it,,,38010
Circolo di coordinamento n. 8,"Scuola dell'Infanzia di Riva  ""Rione 2 giugno""",Scuola dell'infanzia,Statale,"Via Delle Ginestre, 31",RIVA DEL GARDA,0464/573920,0461/493389,scuolainfanzia.riva@scuole.provincia.tn.it,circolo.coordinamento08@provincia.tn.it,,,38066
Circolo di coordinamento n. 7,Scuola dell'Infanzia di Cunevo,Scuola dell'infanzia,Statale,"Via Delle Scuole - Cunevo, 6",CONTÁ,0461/652520,0461/494334,scuolainfanzia.cunevo@scuole.provincia.tn.it,circolo.coordinamento07@provincia.tn.it,,,38010
Circolo di coordinamento n. 6,"Scuola dell'Infanzia di Trento  Martignano  ""Arcobaleno""",Scuola dell'infanzia,Statale,"Via Alla Formigheta, 4",TRENTO,0461/830411,0461/499283,scuolainfanzia.martignano@scuole.provincia.tn.it,circolo.coordinamento06@provincia.tn.it,,,38121
COOPERATIVA SOCIALE SACRA FAMIGLIA ONLUS,SCUOLA PRIMARIA SACRA FAMIGLIA TRENTO,Scuola Primaria,Paritaria,"Via Della Saluga, 7",TRENTO,0461/080041,,cooperativasacrafamiglia@pec.it,segreteria@sacrafamigliatrento.it,www.sacrafamigliatrento.it,TN1E005006,38121
Circolo di coordinamento n. 11,Scuola dell'Infanzia di Castelfondo,Scuola dell'infanzia,Statale,"Via Madonna Pellegrina, 5",BORGO D'ANAUNIA,0463/889189,0461/491940,scuolainfanzia.castelfondo@scuole.provincia.tn.it,circolo.coordinamento11@provincia.tn.it,,,38020
Coordinamento pedagogico scuole provinciali dell'infanzia ladine,"Scuola dell'Infanzia di Pera di Fassa ""don Edy Cinzol""",Scuola dell'infanzia,Statale,"Piaza Antonio Vian, 3, Pera di Fassa",SAN GIOVANNI DI FASSA - SEN JAN,0462/764828,0462/760001,scuolainfanzia.pera@scuole.provincia.tn.it,coordinamento.scuoleladine@provincia.tn.it,,,38036
Circolo di coordinamento n. 8,"Scuola dell'Infanzia di Darzo ""L'albero delle castagne""",Scuola dell'infanzia,Statale,"Via S Giovanni Nepomuceno, 11",STORO,0465/685244,0461/493389,scuolainfanzia.darzo@scuole.provincia.tn.it,circolo.coordinamento08@provincia.tn.it,,,38089
Circolo di coordinamento n. 11,Scuola dell'Infanzia di Mione Rumo,Scuola dell'infanzia,Statale,"Frazione Mione, 54",RUMO,0463/530420,0461/491940,scuolainfanzia.rumo@scuole.provincia.tn.it,circolo.coordinamento11@provincia.tn.it,,,38020
GARDASCUOLA SOCIETA' COOPERATIVA SOCIALE - ARCO,SCUOLA PRIMARIA GARDASCUOLA ARCO,Scuola Primaria,Paritaria,"Via XXIV Maggio, 1",ARCO,0464/519546,0464/519959,gardascuola@pec.cooperazionetrentina.it,segreteria@gardascuola.it,www.gardascuola.it,TN1E00800N,38062
Circolo di coordinamento n. 3,"Scuola dell'Infanzia di Trento  Povo ""M.C. Conotter""",Scuola dell'infanzia,Statale,"Via Della Resistenza, 48",TRENTO,0461/810574,0461/497257,scuolainfanzia.povo@scuole.provincia.tn.it,circolo.coordinamento03@provincia.tn.it,,,38123
Circolo di coordinamento n. 7,Scuola dell'Infanzia di Fai Paganella,Scuola dell'infanzia,Statale,"Via Villa, 43",FAI DELLA PAGANELLA,0461/583360,0461/494334,scuolainfanzia.fai@scuole.provincia.tn.it,circolo.coordinamento07@provincia.tn.it,,,38010
ISTITUTO COMPRENSIVO ALTA VAL DI SOLE,SCUOLA PRIMARIA COGOLO DI PEIO,Scuola Primaria,Statale,"Via Rosmini, 6",PEIO,0463/754498,0463/750043,ic.altavaldisole@pec.provincia.tn.it,segr.icaltavaldisole@scuole.provincia.tn.it,www.icaltavaldisole.it,TNEE83204B,38024
Circolo di coordinamento n. 3,"Scuola dell'Infanzia di Trento  ""Gianni Rodari""",Scuola dell'infanzia,Statale,"Via Giovanelli, 6",TRENTO,0461/986198,0461/497257,scuolainfanzia.rodari@scuole.provincia.tn.it,circolo.coordinamento03@provincia.tn.it,,,38122
Coordinamento pedagogico scuole provinciali dell'infanzia ladine,Scuola dell'Infanzia di Soraga,Scuola dell'infanzia,Statale,"Strada Dolomites, 19",SORAGA - SORAGA,0462/768277,0462/760001,scuolainfanzia.soraga@scuole.provincia.tn.it,coordinamento.scuoleladine@provincia.tn.it,,,38030
Circolo di coordinamento n. 7,"Scuola dell'Infanzia di Rallo di Tassullo  ""Nuovo germoglio""",Scuola dell'infanzia,Statale,"Via Fratelli Pinamonti - Rallo - Tassullo,  ",VILLE D'ANAUNIA,0463/451568,0461/494334,scuolainfanzia.rallo@scuole.provincia.tn.it,circolo.coordinamento07@provincia.tn.it,,,38019
Circolo di coordinamento n. 2,"Scuola dell'Infanzia di Levico Terme ""Taita Marcos""",Scuola dell'infanzia,Statale,"Via Monsignor Caproni, 1",LEVICO TERME,0461/706330,0461 491976,scuolainfanzia.levico@scuole.provincia.tn.it,circolo.coordinamento02@provincia.tn.it,,,38056
Circolo di coordinamento n. 11,Scuola dell'Infanzia di Ruffrè,Scuola dell'infanzia,Statale,"Maso Lana, 3",RUFFRE' - MENDOLA,0463/870011,0461/491940,scuolainfanzia.ruffre@scuole.provincia.tn.it,circolo.coordinamento11@provincia.tn.it,,,38010
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Scuola Secondaria di Secondo Grado,Paritaria,"Via Monsignor  Endrici, 23",TRENTO,0461/1731200,0461/1731288,collegioarcivescovile@pec.it,didatticatn@arcivescoviletrento.it,www.arcivescoviletrento.it,TNTD37500F,38122
Circolo di coordinamento n. 1,Scuola dell'Infanzia di Varena,Scuola dell'infanzia,Statale,"Via Mercato, 22",VILLE DI FIEMME,0462/341301,0461/493495,scuolainfanzia.varena@scuole.provincia.tn.it,circolo.coordinamento01@provincia.tn.it,,,38030
Circolo di coordinamento n. 6,"Scuola dell'Infanzia di Trento  Solteri  ""Il Quadrifoglio""",Scuola dell'infanzia,Statale,"Via Dei Solteri, 24",TRENTO,0461/821343,0461/499283,scuolainfanzia.solteri@scuole.provincia.tn.it,circolo.coordinamento06@provincia.tn.it,,,38121
Circolo di coordinamento n. 6,Scuola dell'Infanzia di Grumes,Scuola dell'infanzia,Statale,"Piazza Municipio - Grumes, 10",ALTAVALLE,0461/685022,0461/499283,scuolainfanzia.grumes@scuole.provincia.tn.it,circolo.coordinamento06@provincia.tn.it,,,38030
ISTITUTO COMPRENSIVO ALTA VALLAGARINA,"SCUOLA PRIMARIA ""A.DE VALENTINI"" CALLIANO",Scuola Primaria,Statale,"Via Degasperi, 4",CALLIANO,0464/410475,0461/490699,ic.altavallagarina@pec.provincia.tn.it,segr.ic.altavallagarina@scuole.provincia.tn.it,www.ic-altavallagarina.it,TNEE86002D,38060
Circolo di coordinamento n. 5,Scuola dell'Infanzia di Terlago,Scuola dell'infanzia,Statale,"Via Degasperi - Terlago, 7",VALLELAGHI,0461/860304,0461/497257,scuolainfanzia.terlago@scuole.provincia.tn.it,circolo.coordinamento05@provincia.tn.it,,,38070
ISTITUTO COMPRENSIVO ARCO,"SCUOLA PRIMARIA ""G. SEGANTINI"" ARCO",Scuola Primaria,Statale,"Via Nas, 28",ARCO,0464/516122,0464/517064,ic.arco@pec.provincia.tn.it,segr.ic.arco@scuole.provincia.tn.it,www.icarco.edu.it,TNEE840039,38062
Circolo di coordinamento n. 8,Scuola dell'Infanzia di Dro,Scuola dell'infanzia,Statale,"Via S Antonio, 10",DRO,0464/504211,0461/493389,scuolainfanzia.dro@scuole.provincia.tn.it,circolo.coordinamento08@provincia.tn.it,,,38074
COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO,LICEO LINGUISTICO ARCIVESCOVILE DAME INGLESI - ROVERETO,Scuola Secondaria di Secondo Grado,Paritaria,"Corso Bettini, 71",ROVERETO,0464/406000,0464/406077,collegioarcivescovile@pec.it,lia@arcivescoviletrento.it,www.arcivescoviletrento.it,TNPL005006,38068
Circolo di coordinamento n. 11,"Scuola dell'Infanzia di Sarnonico ""Giardino dei sogni""",Scuola dell'infanzia,Statale,"Viale S Lorenzo, 6",SARNONICO,0463/831603,0461/491940,scuolainfanzia.sarnonico@scuole.provincia.tn.it,circolo.coordinamento11@provincia.tn.it,,,38011
ISTITUTO COMPRENSIVO ALDENO MATTARELLO,SCUOLA SECONDARIA DI PRIMO GRADO ALDENO,Scuola Secondaria di Primo Grado,Statale,"Via Alle Albere, 1",ALDENO,0461/842823,0464/946007,ic.aldeno-mattarello@pec.provincia.tn.it,segr.aldeno.mattarello@scuole.provincia.tn.it,www.icaldenomattarello.it,TNMM82101R,38060
Circolo di coordinamento n. 1,Scuola dell'Infanzia di Civezzano,Scuola dell'infanzia,Statale,"Via Telvana, 4",CIVEZZANO,0461/858481,0461/493495,scuolainfanzia.civezzano@scuole.provincia.tn.it,circolo.coordinamento01@provincia.tn.it,,,38045
GARDASCUOLA SOCIETA' COOPERATIVA SOCIALE - ARCO,ISTITUTO TECNICO PER IL SETTORE ECONOMICO,Scuola Secondaria di Secondo Grado,Paritaria,"Via XXIV Maggio, 1",ARCO,0464/519546,0464/519959,gardascuola@pec.cooperazionetrentina.it,segreteria@gardascuola.it,www.gardascuola.it,TNTN04500G,38062
Circolo di coordinamento n. 8,Scuola dell'Infanzia di Romarzollo,Scuola dell'infanzia,Statale,"Via Fossa, 21",ARCO,0464/532848,0461/493389,scuolainfanzia.arco@scuole.provincia.tn.it,circolo.coordinamento08@provincia.tn.it,,,38062
Circolo di coordinamento n. 8,Scuola dell'Infanzia di Tiarno di Sopra,Scuola dell'infanzia,Statale,"Piazza Milin - Tiarno di Sopra, 13",LEDRO,0464/596077,0461/493389,scuolainfanzia.tiarnodisopra@scuole.provincia.tn.it,circolo.coordinamento08@provincia.tn.it,,,38067
Circolo di coordinamento n. 4,"Scuola dell'Infanzia di Trento  Romagnano  ""Gli Gnomi del Bosco""",Scuola dell'infanzia,Statale,"Via Delle Prede, 2",TRENTO,0461/349153,0461/496950,scuolainfanzia.romagnano@scuole.provincia.tn.it,circolo.coordinamento04@provincia.tn.it,,,38123
Circolo di coordinamento n. 8,Scuola dell'Infanzia di Cimego,Scuola dell'infanzia,Statale,"Via don Bertolasi, 64, Cimego",BORGO CHIESE,0465/621567,0461/493389,scuolainfanzia.cimego@scuole.provincia.tn.it,circolo.coordinamento08@provincia.tn.it,,,38083
Centro Formazione Professionale ENAIP - Varone di Riva del Garda,SETTORE SERVIZI,Formazione professionale,Paritaria,"Rione Europa, 3",RIVA DEL GARDA,0464/521300,0464/521553,cfp.rivadelgarda@pec.it,cfp.rivadelgarda@enaip.tn.it,www.enaiptrentino.it,TNCF007001,38066
ISTITUTO COMPRENSIVO ALDENO MATTARELLO,"SCUOLA SECONDARIA DI PRIMO GRADO ""A. FOGAZZARO"" MATTARELLO",Scuola Secondaria di Primo Grado,Statale,"Via Della Torre Franca, 1",TRENTO,0461/945237,0464/946007,ic.aldeno-mattarello@pec.provincia.tn.it,segr.aldeno.mattarello@scuole.provincia.tn.it,www.icaldenomattarello.it,TNMM82102T,38123
ISTITUTO COMPRENSIVO ALTOPIANO DI PINE',"SCUOLA PRIMARIA ""G. DALLAFIOR"" BASELGA DI PINE'",Scuola Primaria,Statale,"Via delle Scuole, 15",BASELGA DI PINE',0461/558317,0461/558163,ic.pine@pec.provincia.tn.it,segr.ic.altopianodipine@scuole.provincia.tn.it,www.icpine.eu,TNEE81601A,38042
ISTITUTO COMPRENSIVO ARCO,"SCUOLA SECONDARIA DI PRIMO GRADO ""N. D'ARCO"" ARCO",Scuola Secondaria di Primo Grado,Statale,"Localita Prabi,  ",ARCO,0464/516429,0464/517064,ic.arco@pec.provincia.tn.it,segr.ic.arco@scuole.provincia.tn.it,www.icarco.edu.it,TNMM840016,38062
Circolo di coordinamento n. 6,"Scuola dell'Infanzia di Trento  Melta di Gardolo  ""Il girasole""",Scuola dell'infanzia,Statale,"Localita Melta, 14",TRENTO,0461/991622,0461/499283,scuolainfanzia.melta@scuole.provincia.tn.it,circolo.coordinamento06@provincia.tn.it,,,38121
Circolo di coordinamento n. 8,Scuola dell'Infanzia di Zuclo Bolbeno,Scuola dell'infanzia,Statale,"Via Fucina - Zuclo, 12",BORGO LARES,0465/322790,0461/493389,scuolainfanzia.zuclo@scuole.provincia.tn.it,circolo.coordinamento08@provincia.tn.it,,,38079
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,LICEO CLASSICO ARCIVESCOVILE - TRENTO,Scuola Secondaria di Secondo Grado,Paritaria,"Via Monsignor  Endrici, 23",TRENTO,0461/1731200,0461/1731288,collegioarcivescovile@pec.it,didatticatn@arcivescoviletrento.it,www.arcivescoviletrento.it,TNPC01500V,38122
Circolo di coordinamento n. 5,Scuola dell'Infanzia di Trento  Sardagna,Scuola dell'infanzia,Statale,"Via dei Caduti di Sardagna, 8",TRENTO,0461/234186,0461/497257,scuolainfanzia.sardagna@scuole.provincia.tn.it,circolo.coordinamento05@provincia.tn.it,,,38123
Centro Formazione Professionale ENAIP - Cles,SETTORE INDUSTRIA E ARTIGIANATO,Formazione professionale,Paritaria,"Via Mitterer, 10",CLES,0463/421362,0463/421606,cfp.cles@pec.it,cfp.cles@enaip.tn.it,www.enaiptrentino.it,TNFP251STA,38023
ISTITUTO COMPRENSIVO ALTA VAL DI SOLE,SCUOLA PRIMARIA VERMIGLIO,Scuola Primaria,Statale,"Via Senatore Kessler, 5",VERMIGLIO,0463/758373,0463/750043,ic.altavaldisole@pec.provincia.tn.it,segr.icaltavaldisole@scuole.provincia.tn.it,www.icaltavaldisole.it,TNEE83206D,38029
Circolo di coordinamento n. 1,"Scuola dell'Infanzia di Capriana ""Maddalena Lazzeri""",Scuola dell'infanzia,Statale,"Piazza Scuole, 3",CAPRIANA,0462/816377,0461/493495,scuolainfanzia.capriana@scuole.provincia.tn.it,circolo.coordinamento01@provincia.tn.it,,,38030
Circolo di coordinamento n. 10,"Scuola dell'Infanzia di Pomarolo  ""Don Rainoldi""",Scuola dell'infanzia,Statale,"Piazzale Colonello Angheben, 6",POMAROLO,0464/410211,0464/493115,scuolainfanzia.pomarolo@scuole.provincia.tn.it,circolo.coordinamento10@provincia.tn.it,,,38060
Circolo di coordinamento n. 2,Scuola dell'Infanzia di Bosentino,Scuola dell'infanzia,Statale,"Via Alle Scuole - Bosentino, 12",ALTOPIANO DELLA VIGOLANA,0461/845133,0461 491976,scuolainfanzia.bosentino@scuole.provincia.tn.it,circolo.coordinamento02@provincia.tn.it,,,38049
Circolo di coordinamento n. 11,"Scuola dell'Infanzia di Terzolas ""Caterina Graifenberg""",Scuola dell'infanzia,Statale,"Via Kessler, 23",TERZOLAS,0463/901977,0461/491940,scuolainfanzia.terzolas@scuole.provincia.tn.it,circolo.coordinamento11@provincia.tn.it,,,38027
Centro Formazione Professionale ENAIP - Villazzano,SETTORE INDUSTRIA E ARTIGIANATO SERALE,Formazione professionale,Paritaria,"Via Asiago, 14",TRENTO,0461/920386,0461/914935,cfp.villazzano@pec.it,cfp.villazzano@enaip.tn.it,www.enaiptrentino.it,,38123
Circolo di coordinamento n. 7,"Scuola dell'Infanzia di Revò ""I girasoli""",Scuola dell'infanzia,Statale,"Via Canestrini, 9/A",NOVELLA,0463/431044,0461/494334,scuolainfanzia.revo@scuole.provincia.tn.it,circolo.coordinamento07@provincia.tn.it,,,38028
ISTITUTO COMPRENSIVO ALTA VAL DI SOLE,SCUOLA PRIMARIA PASSO TONALE,Scuola Primaria,Statale,"Via Nazionale, 12/C",VERMIGLIO,0364/903859,0463/750043,ic.altavaldisole@pec.provincia.tn.it,segr.icaltavaldisole@scuole.provincia.tn.it,www.icaltavaldisole.it,TNEE83207E,38029
ISTITUTO COMPRENSIVO ALTOPIANO DI PINE',"SCUOLA SECONDARIA DI PRIMO GRADO ""DON GIUSEPPE TARTER""BASELGA DI PINE'",Scuola Secondaria di Primo Grado,Statale,"Via del XXVI Maggio - Baselga, 6",BASELGA DI PINE',0461/557138,0461/558163,ic.pine@pec.provincia.tn.it,segr.ic.altopianodipine@scuole.provincia.tn.it,www.icpine.eu,TNMM816019,38042
COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO,SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE DAME INGLESI ROVERETO,Scuola Secondaria di Primo Grado,Paritaria,"Corso Bettini, 31",ROVERETO,0464/406000,0464/406077,collegioarcivescovile@pec.it,lia@arcivescoviletrento.it,www.arcivescoviletrento.it,TN1M00200X,38068
Circolo di coordinamento n. 11,"Scuola dell'Infanzia di Romeno  ""Città della gioia""",Scuola dell'infanzia,Statale,"Via Monsignor Rosati, 6",ROMENO,0463/875195,0461/491940,scuolainfanzia.romeno@scuole.provincia.tn.it,circolo.coordinamento11@provincia.tn.it,,,38010
Circolo di coordinamento n. 2,Scuola dell'Infanzia di Imer,Scuola dell'infanzia,Statale,"Via Nazionale, 71",IMER,0439/67668,0461 491976,scuolainfanzia.imer@scuole.provincia.tn.it,circolo.coordinamento02@provincia.tn.it,,,38050
ISTITUTO COMPRENSIVO AVIO,SCUOLA PRIMARIA SABBIONARA DI AVIO,Scuola Primaria,Statale,"Piazza Conciliazione,  1",AVIO,0464/684067,0464/687570,ic.avio@pec.provincia.tn.it,segr.ic.avio@scuole.provincia.tn.it,www.istitutoavio.it,TNEE847023,38063
Circolo di coordinamento n. 10,Scuola dell'Infanzia di Rovereto Brione,Scuola dell'infanzia,Statale,"Via Puccini, 26",ROVERETO,0464/412892,0464/493115,scuolainfanzia.brione@scuole.provincia.tn.it,circolo.coordinamento10@provincia.tn.it,,,38068
Circolo di coordinamento n. 5,"Scuola dell'Infanzia di Trento  Cadine  ""Il Melograno""",Scuola dell'infanzia,Statale,"Via di Coltura, 3",TRENTO,0461/866302,0461/497257,scuolainfanzia.cadine@scuole.provincia.tn.it,circolo.coordinamento05@provincia.tn.it,,,38123
Circolo di coordinamento n. 2,"Scuola dell'Infanzia di Villa Agnedo ""Natale Alpino""",Scuola dell'infanzia,Statale,"Via Dei Molini - Agnedo, 39",CASTEL IVANO,0461/762822,0461 491976,scuolainfanzia.villagnedo@scuole.provincia.tn.it,circolo.coordinamento02@provincia.tn.it,,,38059
Circolo di coordinamento n. 4,"Scuola dell'Infanzia di Trento  Mattarello  ""Il Castello""",Scuola dell'infanzia,Statale,"Via Del Castel, 1/A",TRENTO,0461/945095,0461/496950,scuolainfanzia.mattarello@scuole.provincia.tn.it,circolo.coordinamento04@provincia.tn.it,,,38123
ISTITUTO COMPRENSIVO ALTA VAL DI SOLE,SCUOLA PRIMARIA COMMEZZADURA,Scuola Primaria,Statale,"Via Del Comun, 5",COMMEZZADURA,0463/751129,0463/750043,ic.altavaldisole@pec.provincia.tn.it,segr.icaltavaldisole@scuole.provincia.tn.it,www.icaltavaldisole.it,TNEE83208G,38020
Centro Formazione Professionale UPT - Trento,SETTORE SERVIZI SERALE,Formazione professionale,Paritaria,"Via Borsieri, 2",TRENTO,0461/239997,0461/260235,cfp-upt@pec.it,segreteria.sede@cfp-upt.it,www.cfp-upt.it,,38122
Circolo di coordinamento n. 7,"Scuola dell'Infanzia di Vervò  ""Il bosco degli gnomi""",Scuola dell'infanzia,Statale,"Via Castel Vervassium, 7, Vervo",PREDAIA,0463/463314,0461/494334,scuolainfanzia.vervo@scuole.provincia.tn.it,circolo.coordinamento07@provincia.tn.it,,,38012
ISTITUTO COMPRENSIVO ALDENO MATTARELLO,SCUOLA PRIMARIA CIMONE,Scuola Primaria,Statale,"Frazione Petrolli, 37",CIMONE,0461/855215,0464/946007,ic.aldeno-mattarello@pec.provincia.tn.it,segr.aldeno.mattarello@scuole.provincia.tn.it,www.icaldenomattarello.it,TNEE82103X,38060
Circolo di coordinamento n. 1,Scuola dell'Infanzia di Casatta,Scuola dell'infanzia,Statale,"Frazione Casatta, 54",VALFLORIANA,0462/910249,0461/493495,scuolainfanzia.casatta@scuole.provincia.tn.it,circolo.coordinamento01@provincia.tn.it,,,38040
ISTITUTO COMPRENSIVO ARCO,SCUOLA PRIMARIA BOLOGNANO,Scuola Primaria,Statale,"Viale Stazione, 2",ARCO,0464/518610,0464/517064,ic.arco@pec.provincia.tn.it,segr.ic.arco@scuole.provincia.tn.it,www.icarco.edu.it,TNEE840017,38062
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,Scuola Secondaria di Secondo Grado,Paritaria,"Via Monsignor  Endrici, 23",TRENTO,0461/1731200,0461/1731288,collegioarcivescovile@pec.it,didatticatn@arcivescoviletrento.it,www.arcivescoviletrento.it,TNPL085003,38122
Circolo di coordinamento n. 3,"Scuola dell'Infanzia di Trento Madonna Bianca ""L'albero del sole""",Scuola dell'infanzia,Statale,"Via Bettini, 3",TRENTO,0461/922124,0461/497257,scuolainfanzia.madonnabianca@scuole.provincia.tn.it,circolo.coordinamento03@provincia.tn.it,,,38123
COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO,SCUOLA PRIMARIA ARCIVESCOVILE DAME INGLESI ROVERETO,Scuola Primaria,Paritaria,"Corso Bettini, 31",ROVERETO,0464/406000,0464/406077,collegioarcivescovile@pec.it,lia@arcivescoviletrento.it,www.arcivescoviletrento.it,TN1E006002,38068
Circolo di coordinamento n. 3,Scuola dell'Infanzia di Trento S.Martino,Scuola dell'infanzia,Statale,"Via della Predara, 16",TRENTO,0461/237516,0461/497257,scuolainfanzia.sanmartino@scuole.provincia.tn.it,circolo.coordinamento03@provincia.tn.it,,,38121
Circolo di coordinamento n. 11,"Scuola dell'Infanzia di Mezzana ""A. Ravelli""",Scuola dell'infanzia,Statale,"Via Manzoni, 22",MEZZANA,0463/756018,0461/491940,scuolainfanzia.mezzana@scuole.provincia.tn.it,circolo.coordinamento11@provincia.tn.it,,,38020
GARDASCUOLA SOCIETA' COOPERATIVA SOCIALE - ARCO,LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE,Scuola Secondaria di Secondo Grado,Paritaria,"Via XXIV Maggio, 1",ARCO,0464/519546,0464/519959,gardascuola@pec.cooperazionetrentina.it,segreteria@gardascuola.it,www.gardascuola.it,TNPS00500B,38062
ISTITUTO COMPRENSIVO AVIO,"SCUOLA SECONDARIA DI PRIMO GRADO ""D. ALIGHIERI"" AVIO",Scuola Secondaria di Primo Grado,Statale,"Viale Degasperi, 69",AVIO,0464/684029,0464/687570,ic.avio@pec.provincia.tn.it,segr.ic.avio@scuole.provincia.tn.it,www.istitutoavio.it,TNMM847011,38063
